,dire_name,dire_score,dire_team_id,duration,league_name,leagueid,match_id,radiant_name,radiant_score,radiant_team_id,radiant_win,series_id,series_type,start_time
122,Greedy Goblins,40,4958284.0,2849,AEF Season 2,5491,3533065571,Team Question,24,4917125.0,False,174336.0,1.0,1509440509
123,,43,,2054,Polupro ladder league season 1,5008,3532293584,,27,,False,0.0,0.0,1509393806
124,Saiyan,35,5075819.0,3036,ProDotA Cup Series,5562,3531968256,Helsinki REDS,34,5015830.0,True,174229.0,1.0,1509379345
125,ZeroEight,20,5095075.0,892,Acer Predator Dota 2 Online Tournament,4249,3531903341,Salty Gaming,0,5100414.0,False,0.0,0.0,1509377087
126,Nancy,28,2707596.0,2324,Acer Predator Dota 2 Online Tournament,4249,3531829523,GARASI MALAS,61,3760852.0,True,0.0,0.0,1509374869
127,warzone gaming,10,5105476.0,1389,Acer Predator Dota 2 Online Tournament,4249,3531810996,FullHouse Gaming,32,2232259.0,True,0.0,0.0,1509374147
128,RISE.XPD,27,3414631.0,1296,Acer Predator Dota 2 Online Tournament,4249,3531798326,Dota till i die,9,2128741.0,False,0.0,0.0,1509373851
129,ZEAL ID,11,4652347.0,1117,Acer Predator Dota 2 Online Tournament,4249,3531787139,Azure,29,5057627.0,True,0.0,0.0,1509373381
130,Nancy,17,2707596.0,1756,Acer Predator Dota 2 Online Tournament,4249,3531727980,Suudzon Is Real,32,1854253.0,True,0.0,0.0,1509371560
131,RaztyZ GrizeuS,7,3700046.0,1275,Acer Predator Dota 2 Online Tournament,4249,3531726366,FullHouse Gaming,44,2232259.0,True,0.0,0.0,1509371541
132,GZ E-SPORT,22,2900284.0,1674,Acer Predator Dota 2 Online Tournament,4249,3531640644,PONCOLSQUAD,48,4108578.0,True,0.0,0.0,1509369009
133,GreenBean Coummunity,35,2609445.0,3558,Acer Predator Dota 2 Online Tournament,4249,3531566866,Dota till i die,47,2128741.0,True,0.0,0.0,1509366700
134,Nancy,48,2707596.0,2799,Acer Predator Dota 2 Online Tournament,4249,3531557906,ZEAL ID,38,4652347.0,False,0.0,0.0,1509366349
135,ZeroEight,42,5095075.0,1643,Acer Predator Dota 2 Online Tournament,4249,3531526523,NJEDIG,11,5104157.0,False,0.0,0.0,1509365400
136,GZ E-SPORT,7,2900284.0,1687,Acer Predator Dota 2 Online Tournament,4249,3531512733,AlwaysGrowUp,41,4481512.0,True,0.0,0.0,1509364889
137,Skywalkers,24,5004539.0,2490,AEF Season 2,5491,3531330432,Dan Schneider,24,5075377.0,False,174155.0,1.0,1509357984
138,No Lich Gaming,31,5048783.0,1955,AEF Season 2,5491,3531321106,Fox Gaming,9,4001424.0,False,174154.0,1.0,1509357601
139,Dan Schneider,24,5075377.0,2167,AEF Season 2,5491,3531238951,Skywalkers,41,5004539.0,True,174155.0,1.0,1509354365
140,No Lich Gaming,49,5048783.0,1835,AEF Season 2,5491,3531238729,Fox Gaming,15,4001424.0,False,174154.0,1.0,1509354273
141,Team Secret,22,1838315.0,2457,ESL One Hamburg 2017,5609,3530486844,Virtus.pro,38,1883502.0,True,174032.0,1.0,1509308688
142,Team Secret,18,1838315.0,2527,ESL One Hamburg 2017,5609,3530401688,Virtus.pro,33,1883502.0,True,174032.0,1.0,1509304243
143,M19,26,4429098.0,2368,ProDotA Cup Series,5562,3530289969,Helsinki REDS,29,5015830.0,False,173980.0,1.0,1509299330
144,Team Liquid,12,2163.0,2134,ESL One Hamburg 2017,5609,3530260459,Team Secret,38,1838315.0,True,173943.0,1.0,1509298132
145,Team Empire,41,46.0,1859,D2CL Season 7,4820,3530234689,PENTA Sports,15,3704482.0,False,173946.0,1.0,1509297165
146,M19,28,4429098.0,1603,ProDotA Cup Series,5562,3530217037,Helsinki REDS,11,5015830.0,False,173980.0,1.0,1509296462
147,Team Secret,21,1838315.0,1883,ESL One Hamburg 2017,5609,3530161568,Team Liquid,11,2163.0,False,173943.0,1.0,1509294337
148,Team Empire,41,46.0,2345,D2CL Season 7,4820,3530134395,PENTA Sports,22,3704482.0,False,173946.0,1.0,1509293393
149,The Council,50,3510168.0,2461,ESL India Premiership - 2017 Edition,5407,3530081224,~White Shadows~,52,4819256.0,True,0.0,0.0,1509291503
150,PENTA Sports,22,3704482.0,2241,D2CL Season 7,4820,3530031354,Team Empire,13,46.0,False,173946.0,1.0,1509289793
151,Team Liquid,28,2163.0,2919,ESL One Hamburg 2017,5609,3530018295,Team Secret,15,1838315.0,False,173943.0,1.0,1509289388
152,Five Little Chimps,9,2782219.0,1385,ESL India Premiership - 2017 Edition,5407,3529950929,The Council,32,3510168.0,True,0.0,0.0,1509287381
153,~White Shadows~,39,4819256.0,2344,ESL India Premiership - 2017 Edition,5407,3529948643,Aggressive 5,32,2714312.0,False,0.0,0.0,1509287344
154,Newbee,12,1375614.0,2464,ESL One Hamburg 2017,5609,3529812480,Virtus.pro,35,1883502.0,True,173872.0,1.0,1509283178
155,Newbee,30,1375614.0,2123,ESL One Hamburg 2017,5609,3529685872,Virtus.pro,18,1883502.0,False,173872.0,1.0,1509279414
156,Virtus.pro,26,1883502.0,2670,ESL One Hamburg 2017,5609,3529546799,Newbee,25,1375614.0,False,173872.0,1.0,1509274933
157,KEEN GAMING,23,2626685.0,2024,ESL One Hamburg 2017,5609,3528450522,Team Liquid,30,2163.0,True,173702.0,1.0,1509224338
158,KEEN GAMING,41,2626685.0,3935,ESL One Hamburg 2017,5609,3528329524,Team Liquid,62,2163.0,True,173674.0,1.0,1509218513
159,Newbee,36,1375614.0,3358,ESL One Hamburg 2017,5609,3528123483,Evil Geniuses,25,39.0,False,173571.0,1.0,1509210564
160,M19,17,4429098.0,1460,D2CL Season 7,4820,3528114380,PENTA Sports,26,3704482.0,True,173604.0,1.0,1509210261
161,PENTA Sports,30,3704482.0,2041,D2CL Season 7,4820,3528004616,M19,16,4429098.0,False,173604.0,1.0,1509206634
162,Newbee,43,1375614.0,4027,ESL One Hamburg 2017,5609,3527949029,Evil Geniuses,38,39.0,False,173571.0,1.0,1509204911
163,Newbee,16,1375614.0,2013,ESL One Hamburg 2017,5609,3527818741,Evil Geniuses,37,39.0,True,173571.0,1.0,1509201180
164,SG e-sports team,16,3715574.0,2116,ESL One Hamburg 2017,5609,3527626946,KEEN GAMING,45,2626685.0,True,173462.0,1.0,1509195879
165,SG e-sports team,52,3715574.0,3751,ESL One Hamburg 2017,5609,3527440319,KEEN GAMING,41,2626685.0,False,173462.0,1.0,1509190143
166,SG e-sports team,34,3715574.0,3122,ESL One Hamburg 2017,5609,3527298693,KEEN GAMING,31,2626685.0,True,173462.0,1.0,1509185163
167,ROG TiTans,20,5067988.0,2170,ESL India Premiership - Season One,4709,3527037916,Team Buriza,31,3927252.0,True,0.0,0.0,1509175643
168,,6,,1028,Polupro ladder league season 1,5008,3526394287,,19,,True,0.0,0.0,1509139202
169,Gambit Esports,20,4425117.0,2732,D2CL Season 7,4820,3526334835,M19,28,4429098.0,True,173282.0,1.0,1509135238
170,M19,24,4429098.0,2300,D2CL Season 7,4820,3526263551,Gambit Esports,25,4425117.0,True,173282.0,1.0,1509131666
171,Evil Geniuses,21,39.0,2242,ESL One Hamburg 2017,5609,3526248657,Fnatic,12,350190.0,False,173277.0,1.0,1509130975
172,Gambit Esports,21,4425117.0,2562,D2CL Season 7,4820,3526164067,M19,30,4429098.0,True,173282.0,1.0,1509127319
173,Fnatic,15,350190.0,2532,ESL One Hamburg 2017,5609,3526144076,Evil Geniuses,25,39.0,True,173277.0,1.0,1509126494
